V1,V2,V3
i.43.4.3.002,0,0.082
i.43.4.3.004,0,0.041
i.43.4.3.005,0,0.041
i.43.4.3.010,0,0.016
i.43.4.3.014,0,0.048
i.43.4.3.017,0,0.085
i.43.4.3.018,0,0.093
i.43.4.3.021,0,0.045
i.43.4.3.025,0,0.046
i.43.4.3.026,0,0.091
i.43.4.3.027,0,0.04
i.43.4.30.001,0,0.031
i.43.4.31.002,0,0.047
i.43.4.32.001,0,0.103
i.43.4.32.004,0,0.057
i.43.4.32.013,0,0.061
i.43.4.4.001,0,0.04
i.43.4.4.002,0,0.041
i.43.4.4.006,0,0.139
i.43.4.4.007,0,0.029
i.43.4.4.010,1,0.08
i.43.4.4.013,0,0.078
i.43.4.4.014,0,0.079
i.43.4.4.015,0,0.046
i.43.4.4.018,0,0.041
i.43.4.4.020,0,0.041
i.43.4.5.001,0,0.03
i.43.4.5.002,0,0.041
i.43.4.5.003,0,0.042
i.43.4.5.010,1,0.041
i.43.4.5.011,0,0.042
i.43.4.7.001,0,0.04
i.43.4.7.007,0,0.112
i.43.4.7.009,0,0.023
i.43.4.7.013,0,0.017
i.43.4.7.014,0,0.042
i.43.4.7.015,0,0.032
i.43.4.7.018,0,0.017
i.43.4.7.019,0,0.1
i.43.4.7.021,0,0.105
i.43.4.7.022,0,0.048
i.43.4.7.031,0,0.048
i.43.4.7.032,0,0.043
i.43.4.7.033,0,0.045
i.43.4.7.040,0,0.031
i.43.4.7.041,0,0.016
i.43.4.8.001,0,0.031
i.43.4.8.005,0,0.045
i.43.4.9.001,0,0.112
i.43.4.9.004,0,0.032
i.43.4.9.011,0,0.032
i.43.4.9.018,0,0.092
i.43.4.9.019,0,0.051
i.43.4.9.021,0,0.154
i.43.4.9.025,0,0.063
i.43.4.9.029,0,0.031
i.43.7.51.004,0,0.015
i.43.7.54.006,0,0.042
i.43.7.54.009,0,0.163
i.43.7.57.003,0,0.056
i.43.7.58.001,0,0.003
i.43.7.60.006,0,0.024
i.43.7.60.007,0,0.024
i.43.7.60.010,0,0.015
i.43.7.60.014,0,0.006
i.43.7.62.001,0,0.046
i.43.7.62.003,0,0.003
i.43.7.62.005,0,0.062
i.43.7.63.001,0,0.039
i.43.7.65.001,0,0.034
i.43.7.65.003,0,0.044
i.43.7.69.003,0,0.11
i.43.7.70.001,0,0.023
i.43.7.71.001,0,0.065
i.43.7.71.009,0,0.03
i.43.7.71.010,0,0.03
i.43.7.71.011,0,0.006
i.43.7.72.001,0,0.103
i.43.7.75.001,0,0.044
i.43.7.77.001,2,0.04
i.43.7.81.004,0,0.185
i.43.7.87.002,0,0.056
i.43.7.90.005,0,0.076
i.43.7.92.001,0,0.067
i.24.4.1.001,0,0.04
i.24.4.1.005,0,0.015
i.24.4.1.007,0,0.015
i.24.4.1.008,0,0.016
i.24.4.1.013,0,0.099
i.24.4.1.014,0,0.043
i.24.4.1.015,0,0.016
i.24.4.1.017,0,0.032
i.24.4.1.019,0,0.045
i.24.4.1.021,0,0.016
i.24.4.1.022,0,0.041
i.24.4.1.025,0,0.016
i.24.4.1.026,0,0.041
i.24.4.10.008,0,0.04
i.24.4.10.009,0,0.077
i.24.4.10.012,0,0.029
i.24.4.11.002,0,0.029
i.24.4.12.001,0,0.015
i.24.4.12.004,0,0.028
i.24.4.12.006,0,0.057
i.24.4.12.007,0,0.03
i.24.4.12.009,0,0.045
i.24.4.12.010,0,0.047
i.24.4.12.011,0,0.016
i.24.4.12.012,0,0.039
i.24.4.12.015,0,0.041
i.24.4.13.001,1,0.049
i.24.4.13.002,0,0.031
i.24.4.13.005,0,0.086
i.24.4.13.006,0,0.08
i.24.4.13.007,0,0.08
i.24.4.13.013,0,0.016
i.24.4.13.014,0,0.101
i.24.4.13.015,0,0.038
i.24.4.13.017,1,0.065
i.24.4.13.023,0,0.084
i.24.4.13.025,0,0.03
i.24.4.13.027,0,0.041
i.24.4.13.028,0,0.042
i.24.4.13.029,0,0.041
i.24.4.13.033,0,0.03
i.24.4.13.035,0,0.022
i.24.4.13.037,0,0.04
i.24.4.14.003,0,0.057
i.24.4.14.004,0,0.074
i.24.4.14.010,0,0.015
i.24.4.14.014,0,0.039
i.24.4.14.015,0,0.015
i.24.4.14.018,0,0.043
i.24.4.14.019,0,0.042
i.24.4.14.020,0,0.029
i.24.4.14.022,0,0.091
i.24.4.14.024,0,0.03
i.24.4.14.028,0,0.03
i.24.4.14.029,0,0.104
i.24.4.14.032,0,0.08
i.24.4.14.033,0,0.015
i.24.4.14.034,0,0.048
i.24.4.15.003,0,0.003
i.24.4.16.003,0,0.015
i.24.4.16.005,0,0.015
i.24.4.16.010,0,0.04
i.24.4.16.012,0,0.039
i.24.4.17.002,0,0.029
i.24.4.17.003,0,0.029
i.24.4.17.005,0,0.059
i.24.4.17.006,0,0.032
i.24.4.17.010,0,0.045
i.24.4.17.013,0,0.1
i.24.4.17.016,0,0.045
i.24.4.18.001,0,0.015
i.24.4.18.002,0,0.016
i.24.4.18.003,0,0.016
i.24.4.18.007,0,0.044
i.24.4.18.014,0,0.182
i.24.4.19.011,0,0.016
i.24.4.19.015,1,0.084
i.24.4.19.017,0,0.016
i.24.4.19.019,0,0.078
i.24.4.19.020,0,0.03
i.24.4.19.021,0,0.016
i.24.4.19.023,0,0.041
i.24.4.19.024,0,0.042
i.24.4.2.003,0,0.04
i.24.4.2.005,0,0.039
i.24.4.2.007,0,0.021
i.24.4.2.010,0,0.015
i.24.4.20.001,0,0.034
i.24.4.20.006,0,0.041
i.24.4.20.007,1,0.047
i.24.4.20.009,0,0.042
i.24.4.20.010,0,0.042
i.24.4.20.016,0,0.033
i.24.4.20.017,0,0.033
i.24.4.20.023,0,0.095
i.24.4.20.024,0,0.045
i.24.4.20.025,0,0.031
i.24.4.20.026,1,0.083
i.24.4.20.028,0,0.042
i.24.4.20.029,0,0.041
i.24.4.20.032,0,0.078
i.24.4.20.034,0,0.016
i.24.4.21.001,0,0.041
i.24.4.22.031,0,0.048
i.24.4.23.001,0,0.018
i.24.4.23.004,0,0.006
i.24.4.23.005,0,0.003
i.24.4.23.006,0,0.003
i.24.4.23.007,0,0.032
i.24.4.24.001,0,0.047
i.24.4.24.006,0,0.061
i.24.4.24.012,0,0.003
i.24.4.24.013,0,0.003
i.24.4.24.015,0,0.003
i.24.4.24.018,0,0.03
i.24.4.25.005,0,0.029
i.24.4.25.007,0,0.105
i.24.4.25.009,0,0.03
i.24.4.25.013,0,0.007
i.24.4.25.016,0,0.03
i.24.4.25.018,0,0.083
i.24.4.25.020,0,0.03
i.24.4.25.021,0,0.04
i.24.4.25.022,0,0.041
i.24.4.25.027,0,0.015
i.24.4.25.028,0,0.04
i.24.4.25.029,0,0.04
i.24.4.25.033,0,0.016
i.24.4.26.004,0,0.043
i.24.4.26.010,0,0.048
i.24.4.26.012,0,0.114
i.24.4.26.013,0,0.089
i.24.4.26.014,0,0.093
i.24.4.26.015,0,0.031
i.24.4.26.020,0,0.086
i.24.4.26.025,0,0.003
i.24.4.27.002,0,0.003
i.24.4.27.003,0,0.003
i.24.4.28.001,0,0.06
i.24.4.28.002,0,0.028
i.24.4.28.005,0,0.016
i.24.4.28.009,0,0.043
i.24.4.28.011,0,0.007
i.24.4.29.011,0,0.016
i.24.4.29.016,0,0.05
i.24.4.30.006,0,0.03
i.24.4.30.012,0,0.089
i.24.4.30.013,0,0.016
i.24.4.30.014,0,0.016
i.24.4.30.015,0,0.016
i.24.4.30.018,0,0.016
i.24.4.30.023,0,0.085
i.24.4.30.029,0,0.043
i.24.4.30.031,0,0.062
i.24.4.31.001,0,0.051
i.24.4.31.006,0,0.029
i.24.4.31.013,0,0.098
i.24.4.32.004,0,0.006
i.24.4.33.003,0,0.003
i.24.4.33.008,0,0.031
i.24.4.33.011,0,0.058
i.24.4.33.014,0,0.052
i.24.4.34.006,0,0.16
i.24.4.34.008,0,0.031
i.24.4.34.012,0,0.09
i.24.4.34.013,0,0.04
i.24.4.34.019,0,0.016
i.24.4.34.020,0,0.016
i.24.4.34.024,0,0.015
i.24.4.34.025,0,0.016
i.24.4.34.027,0,0.041
i.24.4.34.028,0,0.041
i.24.4.34.029,0,0.015
i.24.4.34.031,0,0.015
i.24.4.34.033,0,0.042
i.24.4.34.034,0,0.041
i.24.4.34.037,0,0.039
i.24.4.35.001,0,0.05
i.24.4.35.009,0,0.083
i.24.4.35.010,0,0.081
i.24.4.35.016,0,0.064
i.24.4.35.020,0,0.016
i.24.4.35.026,0,0.08
i.24.4.36.003,0,0.003
i.24.4.36.004,0,0.041
i.24.4.36.007,0,0.032
i.24.4.37.001,0,0.031
i.24.4.37.002,0,0.003
i.24.4.38.001,0,0.016
i.24.4.38.005,0,0.04
i.24.4.4.001,0,0.091
i.24.4.4.004,0,0.017
i.24.4.4.005,0,0.022
i.24.4.4.007,0,0.029
i.24.4.4.008,0,0.015
i.24.4.4.009,0,0.04
i.24.4.4.010,0,0.041
i.24.4.4.012,0,0.04
i.24.4.4.013,0,0.03
i.24.4.4.015,0,0.081
i.24.4.4.017,0,0.048
i.24.4.45.005,0,0.018
i.24.4.45.012,0,0.047
i.24.4.45.027,0,0.043
i.24.4.46.002,0,0.031
i.24.4.46.004,0,0.031
i.24.4.46.008,0,0.017
i.24.4.46.009,0,0.04
i.24.4.46.017,0,0.021
i.24.4.46.022,0,0.035
i.24.4.46.024,0,0.045
i.24.4.46.025,0,0.045
i.24.4.46.028,0,0.017
i.24.4.5.001,0,0.015
i.24.4.5.004,0,0.04
i.24.4.5.005,0,0.04
i.24.4.5.006,0,0.076
i.24.4.5.007,0,0.075
i.24.4.5.012,0,0.015
i.24.4.5.014,0,0.04
i.24.4.5.017,0,0.102
i.24.4.5.023,0,0.032
i.24.4.51.001,0,0.078
i.24.4.6.001,0,0.046
i.24.4.6.003,0,0.122
i.24.4.6.004,0,0.049
i.24.4.6.007,1,0.015
i.24.4.6.009,0,0.015
i.24.4.6.010,0,0.033
i.24.4.6.011,0,0.041
i.24.4.6.012,0,0.015
i.24.4.6.014,0,0.015
i.24.4.6.015,0,0.015
i.24.4.6.017,0,0.015
i.24.4.7.001,0,0.037
i.24.4.7.002,0,0.03
