CRSP2_Unique_ID,Severe_Crashes,Area_Type,Context_Zone,Int_Type,Total_Entering_ADT,Cross_Product,Design_Type,Traffic_Control,Leg_Configuration,Major_Division_Configuration,Minor_Division_Configuration,Major_Surface_Type,Minor_Surface_Type,Alignment_Skew,Railroad_Crossing,Adjacent_Curve,Adjacent_Development,Street Parking,Lighting,Previous_Stop,Major_Speed_Limit,Minor_Speed_Limit,Flashers,Overhead_Signal,Left_Turn_Phasing_Maj,Left_Turn_Phasing_Min,Maj1_Lane_Config,Maj2_Lane_Config,Sidewalk,Refuge_Island,Ped_Crossing,Bike_Facility,Ped_Indicator,Transit_Adjacent,School_Crosswalk,Legs,Max_Lanes_Cross
610274,0,urban,mixed use,intersection,2650,0,traditional,signal,x,divided,undivided,paved,paved,0,none,no,yes,no,yes,0,45,30,no,yes,protected,permitted,lttr,lttr,yes,yes,yes,no,yes,yes,yes,4,4
610282,0,urban,mixed use,intersection,49850,475450000,traditional,signal,x,divided,undivided,paved,paved,0,none,no,yes,no,yes,0,45,45,no,yes,protected,permitted,lttr,lttt,yes,yes,yes,no,yes,yes,no,4,4
620016,0,suburban,residential,intersection,1200,0,traditional,thru-stop,t,divided,undivided,paved,paved,5,none,no,no,no,yes,0,45,30,no,no,none,none,ltt,tt,no,yes,no,no,no,no,no,3,2
620018,0,rural,residential,intersection,2050,0,traditional,signal,x,divided,undivided,paved,paved,15,none,yes,no,no,yes,0,45,30,no,yes,protected,permitted,ltt,ltt,yes,yes,yes,no,no,no,no,4,3
620022,0,suburban,residential,intersection,2100,0,traditional,signal,x,divided,undivided,paved,paved,0,none,yes,no,no,yes,0,45,30,no,yes,protected,permitted,ltt,ltt,yes,yes,yes,no,yes,no,no,4,3
620024,0,suburban,residential,intersection,730,0,traditional,thru-stop,x,divided,undivided,paved,paved,0,none,yes,no,no,yes,0,45,30,no,no,none,none,ltt,ltt,yes,yes,no,no,no,no,no,4,3
620035,0,urban,mixed use,ramp terminal,29000,0,traditional,signal,x,divided,divided,paved,paved,0,none,yes,no,no,yes,0,30,30,no,yes,protected,permitted,ltt,tttr,yes,yes,yes,no,yes,no,no,4,4
620037,0,urban,mixed use,ramp terminal,30500,0,traditional,signal,x,divided,divided,paved,paved,0,none,yes,no,no,yes,0,30,30,no,yes,protected,permitted/protected,tttr,lttt,yes,yes,yes,no,yes,no,no,4,3
660004,0,urban core,mixed use,ramp terminal,16700,24160000,traditional,signal,x,divided,undivided,paved,paved,0,none,yes,yes,no,yes,0,30,30,no,yes,protected,permitted,lttr,lttt,yes,yes,yes,no,yes,no,no,4,4
660010,0,suburban,residential,intersection,17500,0,traditional,all-way stop,x,undivided,undivided,paved,paved,0,none,yes,yes,no,yes,0,30,30,no,no,none,none,tt,tt,no,no,yes,no,no,yes,no,4,4
