ACCN,Cur_CRSP2ID_int
111720201,C.18.4.16.010
111730146,C.27.4.48.002
111730149,C.27.4.57.011
111740212,C.69.9.8167.003
111760080,C.27.4.23.004
111770073,C.27.4.10.067
111770137,C.86.4.75.013
111780005,C.86.4.35.010
111780046,C.73.4.1.001
111780088,C.27.4.13.001
111780101,C.27.4.48.001
111780133,C.27.4.152.027
111800191,C.49.7.213.003
111810091,C.86.4.30.009
111810101,C.55.4.9.002
111810124,C.27.4.1.021
111820008,C.73.4.43.006
111830022,C.27.4.84.010
111830042,C.18.4.3.002
111830083,C.27.4.30.005
111840020,C.73.4.9.010
111850023,C.86.4.34.005
111860121,C.13.4.25.005
111880003,C.55.4.22.011
111880041,C.47.4.23.009
111890009,C.27.4.3.025
111890052,C.13.4.19.003
111890082,C.27.4.112.009
111890107,C.27.4.15.064
111890145,C.73.4.134.001
111900036,C.69.4.4.022
111900037,C.69.4.34.004
111900064,C.25.4.7.047
111910052,C.27.4.30.005
111910055,C.27.4.50.011
111910061,C.27.4.152.012
111910080,C.69.4.95.003
111910124,C.13.4.20.010
111920042,C.49.4.52.026
111920071,C.27.4.12.005
111920093,C.69.7.251.003
111930017,C.27.4.15.038
111930049,C.27.4.16.003
111930064,C.27.4.30.002
111940005,C.73.7.159.011
111940038,C.69.4.89.002
111940068,C.56.4.67.012
111950034,C.47.4.1.009
111960120,C.55.4.22.003
111960152,C.27.4.152.026
111970064,C.27.4.4.009
111970069,C.73.4.75.013
111970098,C.27.4.3.027
111980065,C.27.4.16.013
111980130,C.56.4.8.009
111990061,C.49.4.28.009
112000005,C.13.4.11.006
112000075,C.73.4.8.008
112020093,C.86.4.37.024
112030158,C.27.4.81.014
112030316,C.27.4.152.025
112030409,C.27.4.153.002
112030450,C.27.4.43.004
112030609,C.27.4.10.058
112040084,C.86.4.18.001
112040086,C.73.4.120.003
112050281,C.27.4.10.062
112060127,C.27.4.5.022
112060135,C.47.4.27.015
112060136,C.55.4.36.002
112060189,C.27.4.43.002
112060191,C.27.4.37.001
112060199,C.27.4.152.002
112060204,C.27.4.66.019
112060240,C.27.4.35.005
112060242,C.27.4.81.014
112060360,C.27.4.1.025
112060373,C.24.4.8.003
112070049,C.69.4.9.003
112070266,C.04.4.22.037
112070268,C.86.4.16.007
112070278,C.27.4.10.001
112080119,C.27.4.3.028
112080224,C.56.4.1.007
