acc_0615_ForGIS_pt.ACCN,acc_0615_ForGIS_pt.Int_CRSP2ID_int
111070028,I.69.4.84.002
111070052,I.73.4.138.005
111070066,I.73.4.81.015
111070073,I.73.4.81.019
111080003,I.55.4.23.003
111080022,I.69.4.54.017
111080037,I.73.4.50.006
111080174,I.69.4.153.002
111080223,I.73.7.112.002
111080244,I.56.4.84.010
111080277,I.69.4.56.017
111080279,I.73.4.1.020
111080292,I.69.4.14.013
111080354,I.56.4.8.020
111090030,I.49.7.252.001
111090223,I.86.4.12.027
111100063,I.69.4.9.078
111100075,I.55.4.34.024
111100079,I.55.4.5.010
111100096,I.55.4.22.052
111100101,I.55.4.22.052
111100116,I.55.4.22.032
111100125,I.55.4.22.049
111100133,I.49.4.35.001
111100138,I.55.4.25.028
111100139,I.55.4.4.024
111100140,I.73.4.75.047
111100176,I.69.4.44.030
111100196,I.55.4.22.045
111100211,I.69.4.57.007
111110018,I.73.7.139.003
111110054,I.69.4.34.001
111110180,I.69.4.9.078
111120041,I.73.4.4.039
111120059,I.73.4.75.052
111120108,I.55.4.36.031
111120118,I.55.4.22.032
111120206,I.47.4.27.005
111120210,I.73.4.75.048
111120222,I.69.4.7.048
111130105,I.86.4.12.052
111140045,I.69.7.921.001
111140059,I.43.4.12.003
111150009,I.86.4.37.068
111150018,I.69.4.9.068
111150123,I.56.4.38.031
111150124,I.55.4.1.039
111170004,I.73.4.75.048
111170029,I.55.4.4.012
111170035,I.73.4.75.044
111170041,I.55.4.16.006
111170052,I.55.7.146.003
111170053,I.55.4.22.035
111170083,I.55.4.3.030
111170086,I.43.4.1.013
111170096,I.56.4.4.004
111170111,I.73.4.75.026
111170118,I.73.4.75.047
111180032,I.73.4.120.005
111180064,I.86.4.18.001
111180077,I.86.4.12.047
111180114,I.56.4.1.116
111190009,I.69.4.48.029
111190031,I.43.4.12.005
111190033,I.73.4.51.003
111190036,I.73.4.2.083
111190161,I.43.4.15.017
111200013,I.69.4.5.055
111200026,I.69.4.9.062
111200081,I.69.4.38.002
111200085,I.73.4.81.019
111200092,I.55.4.1.033
111210043,I.56.4.51.001
111210083,I.73.4.38.001
111220028,I.69.4.9.031
111220074,I.69.4.9.065
111220092,I.86.4.12.033
111220146,I.73.4.81.019
111220196,I.86.4.75.045
111220201,I.49.4.43.001
111230031,I.69.4.6.030
111230037,I.47.4.11.022
111230200,I.86.4.32.001
111230203,I.86.4.3.054
111240023,I.73.4.81.015
111240030,I.73.4.75.070
111240040,I.73.4.4.047
