ACCN,YEAR,Seg_CRSP2ID_int
110280096,2011,S.43.4.33.001
110280301,2011,S.73.4.2.001
110280307,2011,S.73.4.13.005
110290005,2011,S.56.4.27.002
110290126,2011,S.55.4.1.002
110290139,2011,S.69.4.90.001
110290190,2011,S.69.4.4.006
110290208,2011,S.43.4.1.004
110300015,2011,S.43.4.9.004
110300067,2011,S.56.4.4.002
110300079,2011,S.69.4.9.002
110300082,2011,S.69.4.21.002
110300138,2011,S.73.4.81.001
110300148,2011,S.73.7.181.001
110300155,2011,S.69.4.9.002
110300162,2011,S.69.4.144.001
110310023,2011,S.73.4.133.001
110310064,2011,S.55.4.4.001
110310089,2011,S.73.4.4.003
110310108,2011,S.47.4.11.002
110310178,2011,S.86.4.31.001
110310180,2011,S.47.4.34.001
110310202,2011,S.86.4.19.003
110310221,2011,S.43.4.9.004
110310241,2011,S.47.4.23.002
110310258,2011,S.69.4.142.001
110310422,2011,S.69.4.90.001
110320043,2011,S.69.4.34.001
110320343,2011,S.73.7.186.003
110320554,2011,S.73.4.3.001
110320577,2011,S.43.4.9.003
110320581,2011,S.43.4.3.001
110330028,2011,S.69.4.103.002
110330222,2011,S.47.4.6.002
110330473,2011,S.69.7.698.001
110330528,2011,S.73.4.13.007
110330574,2011,S.73.4.7.002
110330606,2011,S.69.4.6.003
110330705,2011,S.56.4.82.003
110340110,2011,S.73.4.1.003
110340175,2011,S.69.4.37.001
110340176,2011,S.55.4.22.004
110340206,2011,S.73.4.32.001
110340207,2011,S.69.4.9.002
110340237,2011,S.43.4.1.005
110340327,2011,S.73.4.137.001
110350084,2011,S.55.4.12.002
110350187,2011,S.73.4.43.001
110350199,2011,S.73.4.137.001
110350301,2011,S.69.4.9.002
110350306,2011,S.73.4.120.001
110350316,2011,S.73.4.1.001
110350361,2011,S.73.7.121.001
110350404,2011,S.86.4.3.005
110360034,2011,S.73.4.115.001
110360103,2011,S.73.4.7.002
110360114,2011,S.69.4.9.002
110360140,2011,S.73.4.51.001
110360145,2011,S.69.4.34.002
110360148,2011,S.73.4.2.003
110360172,2011,S.43.4.12.002
110370027,2011,S.56.4.8.001
110370050,2011,S.69.4.56.003
110370053,2011,S.73.4.79.001
110370096,2011,S.73.4.17.007
110370104,2011,S.55.4.1.001
110380048,2011,S.73.4.4.002
110380074,2011,S.56.4.19.003
110380134,2011,S.73.4.17.002
110380165,2011,S.73.4.120.001
110380178,2011,S.73.4.75.002
110380182,2011,S.56.4.88.001
110380248,2011,S.43.4.7.003
110390206,2011,S.69.4.102.001
110390217,2011,S.55.4.22.001
110390258,2011,S.73.4.9.002
110390324,2011,S.43.4.1.002
110390510,2011,S.86.4.30.005
110390628,2011,S.55.4.22.004
110390663,2011,S.86.4.30.005
110400169,2011,S.55.4.22.002
110400176,2011,S.55.4.22.004
110400206,2011,S.73.4.2.005
110400223,2011,S.55.4.22.004
110400242,2011,S.69.4.4.001
110400273,2011,S.69.7.859.001
110400278,2011,S.73.4.7.002
110400311,2011,S.43.4.15.002
110410076,2011,S.73.4.11.002
110410078,2011,S.73.7.134.002
110410105,2011,S.69.4.9.002
110410204,2011,S.86.4.6.007
110410236,2011,S.49.7.210.001
110410248,2011,S.69.4.103.002
110410289,2011,S.73.4.120.001
110420109,2011,S.69.4.100.001
110420304,2011,S.86.4.37.003
110420336,2011,S.55.4.25.002
110420341,2011,S.73.4.1.003
110430003,2011,S.73.7.141.001
110430134,2011,S.73.4.3.001
110430182,2011,S.73.4.7.001
110440009,2011,S.55.7.147.001
110440011,2011,S.43.4.9.002
110440014,2011,S.49.4.8.001
110440019,2011,S.49.4.37.001
110440039,2011,S.73.4.13.006
110440090,2011,S.49.4.1.007
110440127,2011,S.43.7.54.001
110450032,2011,S.55.4.22.001
110450040,2011,S.69.4.14.002
110450051,2011,S.55.4.2.001
110450165,2011,S.43.4.12.001
110450195,2011,S.69.4.49.002
110450239,2011,S.43.4.3.001
110450240,2011,S.43.4.18.001
110460002,2011,S.43.4.5.002
110460096,2011,S.69.4.9.002
110460121,2011,S.73.4.2.002
110460124,2011,S.56.4.79.001
110470015,2011,S.73.4.75.002
110470027,2011,S.43.4.5.002
110470052,2011,S.73.4.10.002
110470074,2011,S.55.4.22.004
110470084,2011,S.55.4.2.001
110470098,2011,S.55.4.22.002
110470114,2011,S.55.7.146.001
110470131,2011,S.55.4.22.002
110470163,2011,S.55.4.22.002
110470285,2011,S.73.4.12.001
110480019,2011,S.55.7.133.001
110480066,2011,S.73.4.65.003
110480083,2011,S.69.4.13.001
110480142,2011,S.73.7.141.001
110480159,2011,S.55.4.22.004
110490045,2011,S.73.4.4.002
110490058,2011,S.55.4.6.001
110490071,2011,S.55.4.5.004
110490128,2011,S.73.4.75.002
110490143,2011,S.73.4.82.001
110490169,2011,S.73.4.75.002
110500028,2011,S.43.4.12.002
110500053,2011,S.86.4.12.005
110510039,2011,S.56.4.3.002
110510041,2011,S.69.4.4.007
110510060,2011,S.73.4.13.006
110510065,2011,S.73.4.13.006
110510215,2011,S.73.4.23.002
110520124,2011,S.56.4.41.002
110520230,2011,S.69.4.21.004
110520254,2011,S.73.4.43.001
110520285,2011,S.73.4.4.001
110520404,2011,S.56.4.75.002
110530013,2011,S.73.4.2.003
110530016,2011,S.73.4.2.003
110530022,2011,S.86.4.35.007
110530030,2011,S.69.4.6.003
110530045,2011,S.69.4.54.001
110530066,2011,S.69.4.57.001
110530172,2011,S.55.4.5.002
110530211,2011,S.73.4.7.002
110530223,2011,S.47.4.1.002
110530262,2011,S.56.4.35.004
110530297,2011,S.73.4.7.002
110530328,2011,S.56.4.88.001
110530383,2011,S.55.4.36.001
110540059,2011,S.55.4.22.004
110540077,2011,S.86.4.36.001
110540107,2011,S.55.4.22.001
110540200,2011,S.55.4.21.001
110540211,2011,S.47.4.12.001
110540283,2011,S.69.4.70.001
110540293,2011,S.86.4.3.005
110550018,2011,S.69.4.13.002
110550020,2011,S.69.4.133.004
110550027,2011,S.73.4.58.001
110550049,2011,S.86.4.19.002
110550056,2011,S.86.4.17.002
110550057,2011,S.86.4.30.0010
110550062,2011,S.86.4.19.003
110550086,2011,S.86.4.6.007
110550087,2011,S.86.4.39.009
110550115,2011,S.69.4.27.001
110550147,2011,S.69.4.156.001
110550175,2011,S.55.4.34.002
110550338,2011,S.55.4.6.001
110550356,2011,S.47.4.4.002
110550369,2011,S.73.4.3.001
110550382,2011,S.73.4.4.002
110550434,2011,S.43.4.7.003
110560004,2011,S.69.4.7.007
110560073,2011,S.69.4.4.002
110560162,2011,S.86.4.35.002
110560172,2011,S.86.4.34.001
110560190,2011,S.73.4.9.006
110560196,2011,S.73.4.7.002
110560217,2011,S.69.4.4.007
110570103,2011,S.73.4.133.001
110570232,2011,S.47.4.11.002
110570242,2011,S.86.4.35.002
110570282,2011,S.69.4.9.002
110580013,2011,S.73.7.185.001
110580043,2011,S.73.4.4.003
110580209,2011,S.56.4.1.004
110580230,2011,S.55.7.112.001
110590009,2011,S.86.4.4.001
110590010,2011,S.43.4.4.003
110590012,2011,S.55.7.133.001
110590046,2011,S.47.4.30.002
110590082,2011,S.86.4.19.002
110590183,2011,S.73.4.75.002
110590226,2011,S.73.4.134.003
110600023,2011,S.43.4.3.004
110600046,2011,S.55.4.22.003
110600082,2011,S.69.7.250.001
110600085,2011,S.69.4.25.005
110600099,2011,S.86.4.37.008
110600221,2011,S.49.4.76.001
110600263,2011,S.49.4.46.001
110600266,2011,S.73.4.7.002
110600268,2011,S.55.4.5.003
110600276,2011,S.73.7.159.001
110610011,2011,S.86.4.37.008
110610116,2011,S.69.4.20.001
110610190,2011,S.86.4.37.006
110610210,2011,S.86.4.7.002
110610277,2011,S.73.4.6.001
110620015,2011,S.73.4.3.001
110620058,2011,S.69.7.569.001
110620144,2011,S.86.4.37.003
110620161,2011,S.69.4.48.002
